path,size_bytes,sha256,tracked_recommendation
requirements.txt,289,2c5797669031000ad569cd6752974b2119337f5eb84c8a8d439bfb4c39ba99e8,Git
run_local.bat,72,0f232bd1508e641c8a615d511e2298475f1caca66b944b313e3564727ec43fdf,Git
run_local.sh,110,2c4bc54c1ef937bbab6b491f8515ec6bf101ccc8fd88c8848ed533500697d49e,Git
scripts/convert_to_tfjs.py,1384,edc5dc8916ebd393f2ca33bba4d0290235f4f0a945db531a82a90b0d3c9dccb8,Git
scripts/evaluate_model.py,1347,1d79caad66323d260c447d618c71de28c89a414932b137f24e74e57deda2805b,Git
scripts/export_model.py,1245,03bd5763b9a542cab91d621013b7ff555d62411716ac500cba1298eb31d40eb0,Git
scripts/fallback_h5_to_tfjs_layers.py,8514,d189cc54971aac5f8bfcc8a446e9130e0e91d671a8192953c87a287e19ce4f19,Git
scripts/run_local_web_server.py,936,5516eabd6e2dfce15811ceeb729e589d4cda736464353fd95a83c7958f82787b,Git
scripts/train_model.py,382,dd7bba987415d8d292fe0ce226f44732eff25cd5c5f31b44feb9be7ae98af1a3,Git
scripts/validate_project.py,1921,cc2cd6a824403cba83498b018326a72a1dd0d126cf2b84eaaa7668a452f5a92f,Git
src/__init__.py,202,fd1b86f43070ac943f50f325bd214f77d00f7de8987088215eb23a446683726f,Git
src/class_mapping.py,2563,69018f72bb847fb8ffa414cc226dbb600491ef8a62e39029d3c86b86d0fad198,Git
src/classification_pipeline.py,515,e62c003275be8bfbd953a37754e7fc930b8fe72c9276956524842a29775696c3,Git
src/config.py,1035,99e0e643098992eb76f4b81502011c0e2de53e4496592605ebd8e6c89d8f50e3,Git
src/data_preprocessing.py,1605,65a0a351c5ac9598a102665344866adfe9005dae75e53e1427ae150ad979865e,Git
src/dataset_loader.py,1975,a41de8a733f5593809269ceed45d80a93e10b9cf13d3db991ab589f9d76f2c00,Git
src/image_preprocessing.py,1805,109c898c42f92e7df1b66a59d3cb6f07545a647e6f101d35f4eb8252ffd898a4,Git
src/inference_pipeline.py,4245,1896e7a7d2569e85abf803d75a6f6e522f19d45ba8cb198dbdde72d8f7131e03,Git
src/model_conversion.py,2547,ff3e501a00949261d0169758d0def5fe8871817bd4f46fb1890b05fe2f431183,Git
src/model_evaluation.py,2808,b96af0b47a23bea31b47935819f38cb67e05b0fb261513ddf3dd6e6ae5343deb,Git
src/model_training.py,1780,193db6dab80e3ba3004623afda730991c5095e1682a8355c599fc5ab7fec6352,Git
src/resnet_model.py,2597,bb58d1b8a83edb0d5725c5b9491cf7ec84364ffa9286e4e5c52e36b9e2f0e04d,Git
src/visualization.py,1434,dabee7d52595afbcdc5ec28bfb1300dc75668fd239dbb2b87fef8fc74f04875f,Git
tests/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Git
tests/test_class_mapping.py,540,74e9ace2f8a21ff799b000f6f9ca24d776407439b78c2964e780484717298da8,Git
tests/test_image_preprocessing.py,686,0933ee386d3a16c08438b3a616447fe6f4407f4fa068e06476f1e757b5d8b995,Git
tests/test_inference_pipeline.py,1429,75722db3e12296eab9bff14c2ea24a1b2573925ec811c14a72c4d82fe661ff85,Git
tests/test_model_conversion.py,572,5ede19a8ffbac551ebf783de12246bbf82b7f4ebadad5a64bbba6a2199d50d3b,Git
train_model.py,302,53f750d40292dceceea31208706558bf00a9b3fb142cf5d5db1f5937dda5c022,Git
web/.nojekyll,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Git
web/app.js,9260,85c16ac856b7c1c56d7542817899c2f62f9f561e32006c9ef58f3bb242aa5617,Git
web/index.html,7458,f133377a3c8d5d4df0110e87f663013cd5e3bbd2d5d827d1497b1e5fc86d44d8,Git
web/metadata.json,2753,aef10de8e06c22825ad8992beb6aa7c32cd898fc13ca7ace5b859a9a3c3ee270,Git
web/sample_images/geometric_scene.png,2966,5ff677c04ad9c3ea131e5acf05aec51dace7499411a46f12fe1c843be3c6ef69,Git
web/sample_images/nature_pattern.png,4569,fa1f891643b13925de2b34addeae23c124f04a6b4266d2034a2b966b3d933021,Git
web/style.css,9275,b3626a4c13e40b6d82333168d18bb604397cc1183ebeab251089ad7b9fc39eef,Git
web/tfjs_model/conversion_summary.json,570,7fbd9e6c1ed0247f310c4143ddfde11ca6bc1659d50547cfc2958e262b1af381,Git
web/tfjs_model/group1-shard10of24.bin,4194304,d0cf645b77b4a6f43b4f298fab3996056937d7abe68275cb722b48c63fbc5792,Git
web/tfjs_model/group1-shard11of24.bin,4194304,82d15d3c77b0e83cb970897a0f6c7c496e3c99b50bebe4d43cfebb576ed1f589,Git
web/tfjs_model/group1-shard12of24.bin,4194304,f7926ff5ccc310f72ed326a5243cf9bb35de1269be8c1a31362560b275c02f24,Git
web/tfjs_model/group1-shard13of24.bin,4194304,00fde83b32831431bd330feef7e73fa82ce32c8430f00416d73ceb8b1de1f25a,Git
web/tfjs_model/group1-shard14of24.bin,4194304,726226793b4cde5b8cb5054381f5b27c15461400cfd5965f8a431b9bdc523269,Git
web/tfjs_model/group1-shard15of24.bin,4194304,f935aedc6d7e14294da3275893ba8ed2550079eddd6df759f14b02e554d7c0ab,Git
web/tfjs_model/group1-shard16of24.bin,4194304,dbeb1410bd122ee15f682f5c7d670066f43411d9b10a54e04bcf8a94c02732cc,Git
web/tfjs_model/group1-shard17of24.bin,4194304,6257b6c58251d4883d3ac3b3ac83d9449df0aabf4be53296fde245dafcd86005,Git
web/tfjs_model/group1-shard18of24.bin,4194304,61b365866b6c0b5e38bc6f72bb209e7d9b9ab9ec591554c9c48d84d71fe63645,Git
web/tfjs_model/group1-shard19of24.bin,4194304,bf01cac89106f555e63f728bb14ca1c709052074543d844f5dea5293f8043097,Git
web/tfjs_model/group1-shard1of24.bin,4194304,38b55e792f6c01bb4783ce4c4021c64fc7ad03bc075047ebea05b8f323fe76ae,Git
web/tfjs_model/group1-shard20of24.bin,4194304,399ed4c66f0ae059d61bbc7295dbf766ab4904be0c6d156be0fe0ce5d4c51277,Git
web/tfjs_model/group1-shard21of24.bin,4194304,9a89b1ffdf0e898a6e530dc2c6ccc58d80577a16c62837b56612feb1927a1ecd,Git
web/tfjs_model/group1-shard22of24.bin,4194304,64b5f0d9966dad6cf94086bb7c6e1e1e1ac69814fdcaaedf5484e33b8ff2dc52,Git
web/tfjs_model/group1-shard23of24.bin,4194304,2fd412e4b19d39c51624eb6f72456b595c23e23d89b3fd5461e14e7e932e1884,Git
web/tfjs_model/group1-shard24of24.bin,2291600,4f7814b638f8868daf7969bd1f7a694bb045fe55cd69a331239e5ffca3ae5a8c,Git
web/tfjs_model/group1-shard2of24.bin,4194304,1380e8f372002113ce551ea4f8415db83dfda00384855ea8973e45ab006e775f,Git
web/tfjs_model/group1-shard3of24.bin,4194304,b08565e3d1e44820baae4b800bc1fc57d07a82c9a8f52d7fbac0de36d1e0501b,Git
web/tfjs_model/group1-shard4of24.bin,4194304,dee98e826aa5a2cf5088af97a7aac074299b24ce708510384d074a1abf1c81c2,Git
web/tfjs_model/group1-shard5of24.bin,4194304,c0bb8be7b1a0fb349cb0d76c08dbbfa05a44bbb9d6395d59c0db68aaa7d6f36f,Git
web/tfjs_model/group1-shard6of24.bin,4194304,702002ba5eb7e46112475fff003a9203aa11eaad817d92b71cca25ee6ebf1ab8,Git
web/tfjs_model/group1-shard7of24.bin,4194304,52969962b02256a766e23c965faccba13c6d9a55a16f344b24c24139adac8a40,Git
web/tfjs_model/group1-shard8of24.bin,4194304,02fa8904b1968854db682326fff325a3f78beb8da53e9d4c4f60267bbe46196e,Git
web/tfjs_model/group1-shard9of24.bin,4194304,0d7540b650f905950fa6128b5a2e949d9c50eb1cb372f46bf954f7e76f291aa6,Git
web/tfjs_model/model.json,236991,baead1e959bc02ac1c4c7c36dca713f8e28af85aeb0433a92b457d8abb29eed1,Git
