relative_path,size_bytes,sha256
models/tfjs_model/group1-shard1of1.bin,160,5d5b0bc82d93630f802258d044703b5fa798e6154ea11fd94f9b79b8c2f76013
models/tfjs_model/model.json,2230,433e8ef5f4c48195768e1e6f2436bacba3af6fe1b0d320bc3b4de5392ce689fa
notebooks/image_classification_alexnet_transfer_learning.ipynb,4120,950201f6515c110021f283e5a354f765cb7630b57e881de39c976f88daba709e
outputs/metrics/model_metrics.json,225,2b9703643c015352bb8dd31ce6f9847a9af3d7e9a82b73140df35bdb32aa3cb8
outputs/predictions/.gitkeep,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
outputs/reports/source_file_audit.json,294,7362fdcf41b40886d1d1e003db7bf032cf44625acd0a7b2815bc7523e81778d8
outputs/visualizations/.gitkeep,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
package.json,476,06b3072496871ea571194d77732cf119c4b67a8a7511dfa3b26629c07d31b95d
requirements-dev.txt,64,5790d6a7521ecb14b6df3e62d7e1ca29c1571e82d538e3ec94a0eba65c917dfd
requirements.txt,217,11734ca0b98a9511f341d90e86022a06420f262727a1bc727fde20f63d00f94a
run_local.bat,63,ce5b59473331bf53479202841f3082b7d30641e03d2b0cf9a43d5715eaa7e43b
run_local.sh,100,2b3d18cd8ec6d7dcc997ed41c2ae96f03957a3873e959b2271f8b5d10b492206
scripts/__init__.py,33,6b3ca07563f59ac62e6b66bd29ae8d89472a3a3dbe5b1faa8dc88600d9c3cf66
scripts/convert_to_tfjs.py,1333,1a8eb6c494721c61666841a7361e448f67aa17b3514825d3ffe59a4b163a9632
scripts/create_smoke_test_tfjs_model.py,4984,edb75df3101dd32a759f768ae7185f604ddd09f2d85cf56024eca5721d09a856
scripts/evaluate_model.py,1803,1910e68cb4583c5c7493c56639b9085c9f7c5271dfe80bc08f717783301bedc6
scripts/export_model.py,789,35ceb91db8e987cfbd03306c84cfb73bef1c462699828d58a32d2fd4de099de4
scripts/run_local_web_server.py,1178,f0fc97ba6da36f5f4839e5d9f66e59729d0f96de09cd8c4e71963b5cabb57e30
scripts/train_model.py,2032,203f187605e9e9d4e1362fcf653695e06b483026d3ade72ac591d5a7a0d73698
scripts/validate_github_pages.py,2662,eaabc3e4f6545e2ae50f028e04e344cfc02876d96f5ae89b0525da1ca406503f
scripts/validate_project.py,1350,5d62f00c9e17ac93ce7dd3e9336f518730d4346e3b3295fd196b0ead4dc1cb44
src/__init__.py,147,762ed3e3fe7d68a4abe7cecce775621bbda276b48d025a8ecc24a26c464ed1f2
src/alexnet_model.py,2485,94833e9877e1404ce418f0e66581d6631d84ea63475303696866741d3e262142
src/class_mapping.py,1981,6fb73d5db7e6fe76af381c2217a4f5af9f59966d435db7f104b5c04b0e11e5bf
src/classification_pipeline.py,1387,fef824bc2780818a7bb4f9e76449c77db62bd863046745a1be321253006d5457
src/config.py,975,72f6ebbf323485d62fa63a2e7caf16594b8e358f96a43fd89e2e712f7b96c5d7
src/data_preprocessing.py,975,ffd10edf3c4978035b7907a53eaf05a5cc83bd276e7f86716d570aa96064ffa8
src/dataset_loader.py,5366,baa8f2b530a138f6e604f5ea89f2d3535a033163f119b2e3b1e3d9024835236e
src/image_preprocessing.py,2848,05b33f7e8819e3f07aec695246f968fd6255082b0b59806d21a2249ca3d9125b
src/inference_pipeline.py,2284,cc0e240cc5caeb1c95c65a6f7ccfab74012da3ec660d6590360188d216a49fe6
src/model_conversion.py,3379,ad945cd290571112d7de7626895d597eb7fcad4f13f423aed4c94cb2789b3f16
src/model_evaluation.py,6178,d842deab585374e2b0145131db61189643cffb81fa2375b230e03506b33dbaf5
src/model_training.py,4685,8beec37ff25ed5d1266a23727ffd9810451c3d1afc8f0713138b347581c18a51
src/transfer_learning_model.py,1974,cdda252f36f0c103df8618b5d71bd54f7ec01043358a639f5e053035ceb9ca86
src/utils.py,473,b6346035a76b19c88f84fbfce480876734cd90f20790d1dfe9dffede7c66ee43
src/visualization.py,1754,4b08db92a8fbd18416e58d75e8133c4b06b94382abd1becc96392fe847a16b5e
tests/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
tests/test_class_mapping.py,586,87c6647411b8e8ba009e8b021bbfb2cb8b993762f82002b8e0acabf35965a578
tests/test_image_preprocessing.py,873,deec8ecf17f4384460f1225fe0dbbb710b11b8e875f810b8496ea856412239d1
tests/test_inference_pipeline.py,532,285d276ddb803d8df7ed529532a267aa357a656d3acc38df91514f6e6164262f
tests/test_model_conversion.py,2015,027e5d6fc11d1eefaf2d68b13b83a101ad4738a5e63ed5e00913ad6d5ed97637
tests/test_models.py,609,f78858dcdc6ebe84d2a0a7afb1d8fe16f0203b5e23ec31c58ea793e9ea808364
train_model.py,130,4b7d3ecb773d74917f5bcaf7fd36f141681b4bb70a23c69cc7b74121dd645838
web/app.js,10482,74acbc50ce4c6d3be4c1be8bb0925300d220bfbb2abee3e9aa9c78776bed92b1
web/index.html,4538,368f5df50500d3c485f5a40791f584a7af5c55a49335b3867b06913849ef21ad
web/metadata.json,1656,0bbe4764c1e20cb9b9335879e7968426720155f795261761f77c2a7249341a44
web/sample_images/sample_cool.png,2106,e39c43e4c2d91a0f2b4663e3414140b65b9f3fe09ffa52979a0624890dcd0148
web/sample_images/sample_green.png,1205,6e4476ed08497e4a14152b908a7118b1b33ab90e91fe5b13d23ce5262ce072c5
web/sample_images/sample_warm.png,2331,d6f3e617c49abcc54df96db4513500df5ea7d3225a9a2cedfe18d9a855087267
web/style.css,6302,5ac8f1c8e27e2f618b36885bef81b80c0e0c3a19e91de49b28480a09c8609371
web/tfjs_model/SMOKE_TEST_ONLY.md,211,430957e1f46500f7dd1dfda216464716a437117dd53f85134d8cb8a17f621ed0
web/tfjs_model/group1-shard1of1.bin,160,5d5b0bc82d93630f802258d044703b5fa798e6154ea11fd94f9b79b8c2f76013
web/tfjs_model/model.json,2230,433e8ef5f4c48195768e1e6f2436bacba3af6fe1b0d320bc3b4de5392ce689fa
wrangler.toml,126,65b6f67f35fbc4de06d3fca8aa41dff292d866f4393c2c9fe99e6536dd974e50
